timestamp,ear_norm,mouth_norm,jaw_norm,stress_flag,flat_affect_flag,arousal_flag
1768818704.37,0.977,1.394,0.725,0.374,0.5,0.076
1768818704.57,0.934,1.27,0.833,0.283,0.5,0.075
1768818704.87,0.975,4.748,1.182,0.141,0.5,0.077
1768818705.17,0.945,0.693,1.09,0.286,0.5,0.076
1768818705.37,0.968,1.565,1.031,0.0,0.5,0.073
1768818705.58,1.012,3.819,0.996,0.0,0.5,0.07
1768818705.87,0.908,6.236,0.991,1.0,0.5,0.065
1768818706.07,0.938,2.822,1.009,0.316,0.5,0.064
1768818706.37,0.99,19.004,1.167,0.0,0.5,0.064
1768818706.6,0.966,5.344,1.155,0.0,0.5,0.065
1768818706.87,0.979,0.217,1.143,0.525,0.5,0.068
1768818707.07,1.082,0.073,1.069,1.0,0.5,0.069
1768818707.27,0.981,0.162,1.067,0.933,0.5,0.069
1768818707.57,0.975,0.047,1.034,0.436,0.5,0.069
1768818707.87,1.048,0.166,1.046,0.587,0.5,0.068
1768818708.17,0.997,0.354,1.032,0.121,0.5,0.067
1768818708.47,1.058,7.674,1.114,0.0,0.5,0.067
1768818708.77,1.04,0.409,1.083,1.0,0.5,0.068
1768818709.07,0.979,2.181,1.083,1.0,0.5,0.07
1768818709.27,1.057,0.33,1.074,0.447,0.5,0.071
1768818709.57,1.024,1.351,1.113,0.156,0.5,0.072
1768818709.87,1.088,9.999,1.141,0.0,0.5,0.071
1768818710.07,1.075,10.586,1.112,0.0,0.5,0.069
1768818710.27,1.055,0.219,1.029,1.0,0.5,0.067
1768818710.47,0.855,0.532,1.011,0.911,0.5,0.066
1768818737.83,1.0,0.009,0.971,0.572,0.5,0.096
1768818738.03,1.008,0.021,0.954,0.769,0.5,0.098
1768818738.33,0.826,0.078,1.04,0.906,0.5,0.104
1768818738.54,0.44,0.328,1.141,0.357,0.5,0.105
1768818738.83,0.662,0.163,1.129,0.518,0.5,0.104
1768818739.13,0.579,1.486,1.094,0.964,0.5,0.111
1768818739.33,0.529,1.559,1.075,0.0,0.5,0.107
1768818739.63,1.216,0.043,0.986,1.0,0.5,0.098
1768818739.84,0.882,0.247,0.975,1.0,0.5,0.094
1768818740.13,0.858,0.025,0.953,0.35,0.5,0.086
1768818740.44,1.158,0.019,0.929,0.233,0.5,0.084
1768818740.74,0.237,0.011,0.889,0.764,0.5,0.088
1768818740.94,0.92,0.04,0.876,0.0,0.5,0.086
1768818741.23,1.016,0.032,0.904,0.0,0.5,0.085
1768818741.45,1.099,0.019,0.934,0.0,0.5,0.085
1768818741.74,1.068,0.055,0.923,0.156,0.5,0.078
1768818741.94,1.033,1.64,1.027,1.0,0.5,0.077
1768818742.14,0.942,1.826,1.085,0.787,0.5,0.077
1768818742.44,1.049,0.077,0.923,0.337,0.5,0.075
1768818742.73,0.982,1.354,0.97,0.137,0.5,0.073
1768818742.94,1.013,2.027,0.981,0.0,0.5,0.072
1768818743.24,1.073,1.358,1.003,0.604,0.5,0.07
1768818743.53,1.053,1.229,0.978,1.0,0.5,0.071
1768818743.73,0.427,0.396,0.921,0.811,0.5,0.072
1768818743.94,0.792,0.663,0.929,0.562,0.5,0.072
1768818744.24,0.826,0.017,0.898,0.171,0.5,0.073
1768818744.46,0.708,0.056,0.902,0.0,0.5,0.072
1768818744.74,1.439,2.328,0.972,0.0,0.5,0.069
1768818745.04,1.459,1.762,0.906,0.0,0.5,0.065
1768818745.34,1.493,0.222,0.851,0.061,0.5,0.059
1768818745.55,0.92,0.563,0.859,1.0,0.5,0.058
1768818745.84,1.05,1.58,0.865,0.393,0.5,0.057
1768818746.04,1.025,0.098,0.794,0.276,0.5,0.059
1768818746.24,1.093,2.888,0.972,0.424,0.5,0.062
1768818746.54,0.97,1.96,0.969,0.808,0.5,0.065
1768818746.74,1.015,2.848,0.986,0.238,0.5,0.067
1768818747.04,1.063,0.097,0.886,0.228,0.5,0.068
1768818747.33,1.001,0.18,0.884,0.3,0.5,0.066
1768818747.54,1.014,0.029,0.862,0.797,0.5,0.065
1768818747.84,1.057,0.027,0.857,0.981,0.5,0.064
1768818748.04,1.032,0.025,0.855,0.0,0.5,0.064
1768818748.34,1.01,0.014,0.85,0.157,0.5,0.063
1768818748.63,1.008,0.026,0.866,0.0,0.5,0.063
1768818748.95,0.995,0.018,0.856,0.234,0.5,0.063
1768818749.23,1.049,0.018,0.85,0.898,0.5,0.063
1768818749.43,1.009,0.033,0.86,0.369,0.5,0.063
1768818749.74,1.028,0.007,0.864,0.0,0.5,0.063
1768818749.95,0.994,0.011,0.866,0.659,0.5,0.063
1768818750.25,1.074,1.288,0.917,0.0,0.5,0.063
1768818750.53,0.161,1.735,0.95,0.54,0.5,0.066
1768818750.83,1.354,1.033,0.866,0.0,0.5,0.068
1768818751.13,1.369,1.372,0.899,0.906,0.5,0.071
1768818751.33,0.9,0.024,0.838,0.18,0.5,0.071
1768818751.64,0.917,1.725,0.941,0.269,0.5,0.069
1768818751.93,0.931,1.971,0.913,0.0,0.5,0.065
1768818752.13,0.975,3.908,1.029,0.056,0.5,0.063
1768818752.43,0.954,2.115,0.961,0.708,0.5,0.061
1768818752.73,0.952,1.939,0.983,0.0,0.5,0.063
1768818753.03,1.06,1.383,0.888,0.0,0.5,0.064
1768818753.33,1.082,0.04,0.807,0.18,0.5,0.063
1768818753.53,1.159,1.913,0.95,0.0,0.5,0.059
1768818753.73,1.145,1.361,0.92,0.0,0.5,0.054
1768818754.03,1.21,1.686,0.891,0.065,0.5,0.05
1768818754.24,1.122,1.775,0.95,0.0,0.5,0.049
1768818754.53,1.071,1.849,1.025,1.0,0.5,0.053
1768818754.75,1.082,1.658,1.034,0.648,0.5,0.056
1768818755.03,1.053,0.276,0.935,0.968,0.5,0.058
1768818755.23,1.044,2.258,1.091,1.0,0.5,0.057
1768818755.53,4.338,0.264,1.021,0.0,0.5,0.06
1768818755.73,3.93,3.786,1.121,0.0,0.5,0.063
1768818755.93,3.474,1.284,1.027,0.027,0.5,0.066
1768818756.23,4.857,0.107,0.991,0.0,0.5,0.072
1768818756.53,4.65,3.835,1.065,0.0,0.5,0.07
1768818756.74,4.484,0.911,1.014,0.923,0.5,0.068
1768818757.04,1.676,4.843,0.846,1.0,0.5,0.066
1768818757.33,3.46,4.053,0.864,1.0,0.5,0.066
1768818757.53,1.062,1.748,1.003,0.814,0.5,0.063
1768818757.73,1.134,0.068,0.862,0.603,0.5,0.059
1768818758.03,0.83,0.164,0.984,0.42,0.5,0.06
1768818758.3,2.506,1.898,1.074,0.0,0.5,0.061
1768818758.54,2.588,5.958,1.154,0.697,0.5,0.065
1768818758.84,1.04,1.928,1.184,0.661,0.5,0.077
1768818759.04,0.978,1.205,1.075,0.632,0.5,0.077
1768818759.34,1.742,3.092,1.057,0.0,0.5,0.08
1768818759.64,3.232,0.386,0.954,0.0,0.5,0.075
1768818759.84,3.839,0.103,0.926,0.0,0.5,0.07
1768818760.13,1.029,2.055,1.064,0.898,0.5,0.069
1768818760.33,0.958,1.493,1.097,0.764,0.5,0.069
1768818760.63,1.051,0.018,0.971,0.592,0.5,0.075
1768818760.84,1.041,1.696,1.105,0.579,0.5,0.079
1768818761.14,0.97,0.095,1.007,0.0,0.5,0.082
1768818761.43,0.943,2.317,1.102,0.304,0.5,0.084
1768818761.63,1.042,2.371,1.08,0.0,0.5,0.083
1768818761.84,1.088,1.455,1.036,0.0,0.5,0.082
1768818762.13,1.012,2.204,1.059,0.0,0.5,0.081
1768818762.34,1.05,0.083,1.03,1.0,0.5,0.079
1768818762.54,0.993,2.276,1.119,0.852,0.5,0.078
1768818762.76,0.986,1.804,1.087,0.0,0.5,0.076
1768818763.04,0.986,1.936,1.089,0.309,0.5,0.072
1768818763.24,0.974,0.031,0.908,0.0,0.5,0.069
1768818763.53,0.933,0.022,0.883,0.0,0.5,0.063
1768818763.73,1.04,0.031,0.911,0.076,0.5,0.06
1768818763.94,1.029,0.037,0.918,0.684,0.5,0.058
1768818764.24,1.097,0.089,0.929,0.0,0.5,0.058
1768818764.54,1.509,0.555,0.998,1.0,0.5,0.059
1768818764.85,3.093,2.894,0.991,0.0,0.5,0.061
1768818765.13,4.078,0.151,0.894,0.0,0.5,0.062
1768818765.34,3.975,0.339,0.865,0.237,0.5,0.06
1768818765.63,2.855,0.183,0.84,0.668,0.5,0.058
1768818765.83,2.142,0.295,0.899,1.0,0.5,0.055
1768818766.13,1.071,1.337,0.928,0.893,0.5,0.057
1768818766.34,1.111,1.334,0.923,0.701,0.5,0.062
1768818766.64,1.006,1.848,1.069,0.704,0.5,0.069
1768818766.93,1.085,0.04,0.967,0.0,0.5,0.073
1768818767.24,1.107,2.676,1.083,0.0,0.5,0.075
1768818767.46,1.06,0.08,1.034,0.681,0.5,0.076
1768818767.74,0.868,1.933,1.098,1.0,0.5,0.077
1768818767.94,1.308,2.362,1.101,0.344,0.5,0.077
1768818768.24,1.606,2.359,1.151,0.0,0.5,0.078
1768818768.54,2.778,0.203,0.982,0.0,0.5,0.072
1768818768.84,2.02,0.205,0.922,0.072,0.5,0.066
1768818769.04,1.9,0.176,0.885,0.378,0.5,0.063
1768818769.34,1.898,0.164,0.933,0.373,0.5,0.061
1768818769.54,2.927,0.319,0.911,0.019,0.5,0.062
1768818769.74,1.229,0.596,0.925,1.0,0.5,0.066
1768818769.94,1.039,2.439,1.14,0.998,0.5,0.071
1768818770.24,0.846,0.061,1.132,0.742,0.5,0.082
1768818770.54,0.862,0.038,1.068,0.929,0.5,0.092
1768818770.74,0.864,0.029,1.065,0.0,0.5,0.094
1768818770.94,0.889,0.289,1.034,0.0,0.5,0.093
1768818771.24,0.901,1.84,1.128,0.0,0.5,0.086
1768818771.44,0.856,1.292,1.127,0.0,0.5,0.082
1768818771.74,0.664,2.123,1.141,1.0,0.5,0.08
1768818772.03,1.798,1.01,1.04,0.0,0.5,0.077
1768818772.26,3.178,3.225,1.066,0.165,0.5,0.073
1768818772.54,0.353,2.518,1.137,0.627,0.5,0.077
1768818772.84,0.449,1.534,1.04,0.709,0.5,0.075
1768818773.04,0.345,1.802,1.052,0.247,0.5,0.079
