feature,importance
S_HeadVelocityPeak_max,0.008208747
S_MeanHeadVelocity_min,0.008086349
S_PauseDurationMean_std,0.007918067
S_ShoulderElevationIndex_max,0.007904579
S_PostureRigidityIndex_max,0.007892377
S_ExtendedSilenceRatio_mean,0.007872319
S_ShoulderElevationIndex_min,0.007851464
S_SpeechOnsetDelay_max,0.007838134
S_HeadMotionEnergy_max,0.007828632
S_LipCompressionFrequency_mean,0.007799778
S_FacialEmotionalRange_min,0.007786295
S_GazeShiftFrequency_std,0.0077844663
S_OverallAUVariance_max,0.0077834567
S_BaselineEyeOpenness_mean,0.0077784774
S_PauseDurationMean_min,0.0077622826
S_NodOnsetLatency_mean,0.007749364
S_ResponseLatencyMean_std,0.0077068782
S_LandmarkDisplacementMean_min,0.007704747
S_GestureFrequency_mean,0.0077040694
S_EyeContactRatio_mean,0.007700025
S_AU4MeanActivation_max,0.0076983105
S_ResponseLatencyMean_max,0.0076831104
S_LandmarkDisplacementMean_std,0.007657457
S_ResponseLatencyMean_mean,0.0076487004
S_LandmarkDisplacementMean_mean,0.00764716
S_GazeShiftFrequency_max,0.0076311952
S_BlinkClusterDensity_std,0.007627089
S_SpeechOnsetDelay_mean,0.0076195677
S_HeadMotionEnergy_std,0.00761867
S_BaselineEyeOpenness_min,0.007605789
S_NodOnsetLatency_max,0.0076035797
S_AU20ActivationRate_min,0.007603069
S_HeadVelocityPeak_mean,0.0075850603
S_AU12Variance_mean,0.0075642103
S_EyeContactRatio_max,0.0075628883
S_ReactionTimeInstabilityIndex_max,0.00755177
S_HeadMotionEnergy_mean,0.0075438116
S_ReactionTimeInstabilityIndex_std,0.0075397766
S_BlinkClusterDensity_min,0.0075359796
S_OverallAUVariance_mean,0.0075328234
S_MeanHeadVelocity_std,0.0075215325
S_AU12Mean_min,0.007515323
S_SpeechOnsetDelay_std,0.007504867
S_OverallAUVariance_std,0.007502191
S_NearZeroAUActivationRatio_mean,0.007499454
S_AU12ActivationFrequency_min,0.007499201
S_EyeContactRatio_std,0.007497378
S_HeadMotionEnergy_min,0.0074942866
S_ExtendedSilenceRatio_std,0.0074941125
S_ExtendedSilenceRatio_max,0.007493221
S_PauseDurationMean_mean,0.0074844593
S_MeanHeadVelocity_max,0.0074816425
S_AU12ActivationFrequency_std,0.0074812
S_ReactionTimeInstabilityIndex_mean,0.007464742
S_DownwardGazeFrequency_min,0.007455346
S_BaselineEyeOpenness_std,0.007452324
S_DownwardGazeFrequency_mean,0.0074383733
S_GazeShiftFrequency_mean,0.007425562
S_MicroMotionEnergy_max,0.0074208807
S_AU20ActivationRate_max,0.0074147666
S_NodOnsetLatency_min,0.007414604
S_EyeContactRatio_min,0.0074088643
S_DownwardGazeFrequency_std,0.0074074725
S_BlinkRate_min,0.0074018463
S_AU4MeanActivation_min,0.0073957713
S_AU12ActivationFrequency_mean,0.0073772967
S_PostureRigidityIndex_min,0.0073702484
S_MicroMotionEnergy_std,0.0073646097
S_ResponseLatencyMean_min,0.0073562115
S_AU4MeanActivation_mean,0.0073394366
S_NodOnsetLatency_std,0.0073355236
S_BlinkClusterDensity_max,0.0073211077
S_ShoulderElevationIndex_mean,0.007319211
S_FacialTransitionFrequency_min,0.007315953
S_AU1AU2PeakIntensity_max,0.0073127565
S_ShoulderElevationIndex_std,0.0073120613
S_MicroMotionEnergy_min,0.0073011443
S_AU15MeanAmplitude_max,0.007297869
S_AU4DurationRatio_max,0.00729587
S_FacialEmotionalRange_max,0.007294727
S_MicroMotionEnergy_mean,0.0072927997
S_AU1AU2PeakIntensity_std,0.0072907866
S_AU1AU2PeakIntensity_min,0.007289905
S_FacialEmotionalRange_std,0.0072790002
S_GestureFrequency_min,0.0072679846
S_FacialTransitionFrequency_max,0.0072673624
S_NearZeroAUActivationRatio_min,0.007260893
S_PauseDurationMean_max,0.007257121
S_AU12Variance_min,0.0072524343
S_MotionEnergyFloorScore_std,0.007221903
S_BlinkRate_max,0.0072207465
S_PostureRigidityIndex_mean,0.007217477
S_AU12Mean_mean,0.0072152996
S_AU1AU2PeakIntensity_mean,0.00720541
S_MeanHeadVelocity_mean,0.00720078
S_AU15MeanAmplitude_min,0.0071997237
S_AU12ActivationFrequency_max,0.0071911216
S_LipCompressionFrequency_max,0.007186449
S_DownwardGazeFrequency_max,0.007186331
S_NearZeroAUActivationRatio_std,0.007176267
S_MotionEnergyFloorScore_mean,0.007168192
S_AU4DurationRatio_min,0.0071635977
S_HeadVelocityPeak_std,0.0071339766
S_AU12Variance_max,0.0071271625
S_MotionEnergyFloorScore_min,0.0071200817
S_LipCompressionFrequency_min,0.007104225
S_HeadVelocityPeak_min,0.0071033253
S_ExtendedSilenceRatio_min,0.0070960787
S_FacialTransitionFrequency_std,0.007095504
S_PostureRigidityIndex_std,0.0070938673
S_GestureFrequency_std,0.0070909895
S_FacialEmotionalRange_mean,0.0070859687
S_FacialTransitionFrequency_mean,0.007078412
S_GestureFrequency_max,0.0070408755
S_OverallAUVariance_min,0.00701328
S_LipCompressionFrequency_std,0.006969814
S_AU20ActivationRate_mean,0.0069500823
S_BlinkRate_mean,0.0069475067
S_LandmarkDisplacementMean_max,0.0069281324
S_BaselineEyeOpenness_max,0.0069231875
S_AU20ActivationRate_std,0.0069164378
S_BlinkClusterDensity_mean,0.0069158473
S_ReactionTimeInstabilityIndex_min,0.006901063
S_AU4MeanActivation_std,0.0069009303
S_NearZeroAUActivationRatio_max,0.0068794554
S_MotionEnergyFloorScore_max,0.0068775397
S_AU12Variance_std,0.0068718325
S_SpeechOnsetDelay_min,0.0068560736
S_AU4DurationRatio_mean,0.0068179616
S_AU4DurationRatio_std,0.006787385
S_AU12Mean_max,0.006781033
S_AU12Mean_std,0.0067662257
S_GazeShiftFrequency_min,0.006725151
S_AU15MeanAmplitude_std,0.006724729
S_AU15MeanAmplitude_mean,0.0066246907
S_BlinkRate_std,0.0065356
